Configuration,Prompt,Schema,Pass@1 (%),KG Valid (%),Avg BLEU,Avg Rouge-L,Avg Jaro-Winkler,Avg Jaccard Output,LLMetric-Q,LLMetric,Avg Iterations,Recovery Rate (%),First Attempt Success (%)
Zero-Shot_Full,zero_shot,full_schema,60.0,100.0,0.3525,0.6382,0.8897,0.6685,80.14,79.01,1.2,100.0,90.0
Zero-Shot_Nodes+Paths,zero_shot,nodes_paths,50.0,100.0,0.2811,0.6348,0.8987,0.5685,75.05,74.04,1.0,0.0,100.0
Zero-Shot_Paths,zero_shot,only_paths,70.0,100.0,0.3824,0.6933,0.9148,0.756,85.34,84.16,1.3,100.0,80.0
Few-Shot_Full,few_shot,full_schema,90.0,100.0,0.2441,0.6969,0.9164,0.95,95.75,94.07,1.2,100.0,80.0
Few-Shot_Nodes+Paths,few_shot,nodes_paths,90.0,100.0,0.2417,0.6932,0.9131,0.9278,95.27,93.59,1.2,100.0,80.0
Few-Shot_Paths,few_shot,only_paths,60.0,80.0,0.2,0.5668,0.8399,0.65,71.05,70.03,1.4,0.0,80.0
CoT_Full,cot,full_schema,70.0,90.0,0.2275,0.6246,0.8758,0.7143,80.03,78.79,1.4,50.0,80.0
CoT_Nodes+Paths,cot,nodes_paths,60.0,80.0,0.2181,0.5622,0.8381,0.65,71.06,70.0,1.6,50.0,60.0
CoT_Paths,cot,only_paths,90.0,90.0,0.2235,0.6377,0.8811,0.9,90.28,88.59,1.3,50.0,80.0
